"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/19/2014 22:06:34:325 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"159","""PD""","0.17","0.5","1","0","""von neumann_r=1""","true","500","0.5148"
"152","""PD""","0.16","0.5","1","0","""moore_r=3""","true","500","0.5004"
"151","""PD""","0.16","0.5","1","0","""moore_r=3""","true","500","0.4968"
"153","""PD""","0.16","0.5","1","0","""moore_r=3""","true","500","0.518"
"163","""PD""","0.18","0.5","1","0","""moore_r=1""","true","500","0.4832"
"164","""PD""","0.18","0.5","1","0","""moore_r=1""","true","500","0.4944"
"165","""PD""","0.18","0.5","1","0","""moore_r=1""","true","500","0.4912"
"166","""PD""","0.18","0.5","1","0","""von neumann_r=1""","true","500","0.5172"
"167","""PD""","0.18","0.5","1","0","""von neumann_r=1""","true","500","0.5124"
"168","""PD""","0.18","0.5","1","0","""von neumann_r=1""","true","500","0.5104"
"160","""PD""","0.17","0.5","1","0","""moore_r=3""","true","500","0.4996"
"161","""PD""","0.17","0.5","1","0","""moore_r=3""","true","500","0.5"
"162","""PD""","0.17","0.5","1","0","""moore_r=3""","true","500","0.4992"
"172","""PD""","0.19","0.5","1","0","""moore_r=1""","true","500","0.4776"
"173","""PD""","0.19","0.5","1","0","""moore_r=1""","true","500","0.5004"
"174","""PD""","0.19","0.5","1","0","""moore_r=1""","true","500","0.4908"
"175","""PD""","0.19","0.5","1","0","""von neumann_r=1""","true","500","0.504"
"169","""PD""","0.18","0.5","1","0","""moore_r=3""","true","500","0.4956"
"170","""PD""","0.18","0.5","1","0","""moore_r=3""","true","500","0.5156"
"176","""PD""","0.19","0.5","1","0","""von neumann_r=1""","true","500","0.5244"
"177","""PD""","0.19","0.5","1","0","""von neumann_r=1""","true","500","0.5156"
"171","""PD""","0.18","0.5","1","0","""moore_r=3""","true","500","0.4972"
"181","""PD""","0.2","0.5","1","0","""moore_r=1""","true","500","0.5088"
"182","""PD""","0.2","0.5","1","0","""moore_r=1""","true","500","0.5032"
"183","""PD""","0.2","0.5","1","0","""moore_r=1""","true","500","0.4912"
"184","""PD""","0.2","0.5","1","0","""von neumann_r=1""","true","500","0.4828"
"185","""PD""","0.2","0.5","1","0","""von neumann_r=1""","true","500","0.5168"
"186","""PD""","0.2","0.5","1","0","""von neumann_r=1""","true","500","0.518"
"178","""PD""","0.19","0.5","1","0","""moore_r=3""","true","500","0.496"
