"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"130","""PD""","0.14","0.01","1","0","""moore_r=1""","true","1000","1072"
"131","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","983","0"
"132","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","1"
"119","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","322"
"133","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","905","0"
"134","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","34"
"120","""PD""","0.13","0.01","1","0","""moore_r=3""","true","1000","673"
"135","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","4"
"136","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","12"
"137","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","51"
"139","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","996","0"
"138","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","951","0"
"140","""PD""","0.14","0.01","1","0","""von neumann_r=1""","true","1000","18"
"142","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","474"
"141","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","228"
"143","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","205"
"144","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","222"
"145","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","120"
"147","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","156"
"146","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","150"
"151","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","483"
"148","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","426"
