"BehaviorSpace results (NetLogo 5.1.0)"
"neighborstask2.nlogo"
"PD HD neighborhood cost"
"12/16/2014 22:04:14:851 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"125","""HD""","0.5","0.01","1","0","""moore_r=3""","true","1000","1513"
"126","""HD""","0.5","0.01","1","0","""moore_r=3""","true","1000","1503"
"136","""HD""","0.7","0.01","1","0","""moore_r=1""","true","1000","790"
"137","""HD""","0.7","0.01","1","0","""moore_r=1""","true","1000","788"
"138","""HD""","0.7","0.01","1","0","""moore_r=1""","true","1000","772"
"139","""HD""","0.7","0.01","1","0","""von neumann_r=1""","true","1000","706"
"140","""HD""","0.7","0.01","1","0","""von neumann_r=1""","true","1000","728"
"141","""HD""","0.7","0.01","1","0","""von neumann_r=1""","true","1000","719"
"133","""HD""","0.6","0.01","1","0","""moore_r=3""","true","1000","1272"
"134","""HD""","0.6","0.01","1","0","""moore_r=3""","true","1000","1268"
"135","""HD""","0.6","0.01","1","0","""moore_r=3""","true","1000","1276"
"145","""HD""","0.8","0.01","1","0","""moore_r=1""","true","1000","394"
"146","""HD""","0.8","0.01","1","0","""moore_r=1""","true","1000","410"
"147","""HD""","0.8","0.01","1","0","""moore_r=1""","true","1000","409"
"148","""HD""","0.8","0.01","1","0","""von neumann_r=1""","true","1000","100"
"149","""HD""","0.8","0.01","1","0","""von neumann_r=1""","true","1000","88"
"150","""HD""","0.8","0.01","1","0","""von neumann_r=1""","true","1000","125"
"142","""HD""","0.7","0.01","1","0","""moore_r=3""","true","1000","992"
"143","""HD""","0.7","0.01","1","0","""moore_r=3""","true","1000","999"
"144","""HD""","0.7","0.01","1","0","""moore_r=3""","true","1000","990"
"154","""HD""","0.9","0.01","1","0","""moore_r=1""","true","330","0"
"155","""HD""","0.9","0.01","1","0","""moore_r=1""","true","363","0"
"156","""HD""","0.9","0.01","1","0","""moore_r=1""","true","317","0"
"157","""HD""","0.9","0.01","1","0","""von neumann_r=1""","true","393","0"
"158","""HD""","0.9","0.01","1","0","""von neumann_r=1""","true","334","0"
"159","""HD""","0.9","0.01","1","0","""von neumann_r=1""","true","364","0"
"151","""HD""","0.8","0.01","1","0","""moore_r=3""","true","1000","677"
"152","""HD""","0.8","0.01","1","0","""moore_r=3""","true","1000","693"
"153","""HD""","0.8","0.01","1","0","""moore_r=3""","true","1000","678"
"160","""HD""","0.9","0.01","1","0","""moore_r=3""","true","1000","315"
"161","""HD""","0.9","0.01","1","0","""moore_r=3""","true","1000","288"
"162","""HD""","0.9","0.01","1","0","""moore_r=3""","true","1000","293"
