"X.run.number.","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","X.step.","count.patches.with..strategy_current....C..","r","freq_c"
"2686",2670,"\"HD\"",0.17,0.01,1,0,"\"moore_r=3\"","true",1000,2142,0.204819277108434,0.8568
"2687",2688,"\"HD\"",0.18,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.219512195121951,0.9996
"2689",2689,"\"HD\"",0.18,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.219512195121951,0.9996
"2690",2690,"\"HD\"",0.18,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.219512195121951,0.9996
"2709",2711,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",805,2500,0.234567901234568,1
"2711",2699,"\"HD\"",0.18,0.01,1,0,"\"moore_r=3\"","true",1000,2130,0.219512195121951,0.852
"2712",2713,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",977,2500,0.234567901234568,1
"2713",2714,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.234567901234568,0.9992
"2714",2715,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.234567901234568,0.9992
"2715",2700,"\"HD\"",0.18,0.01,1,0,"\"moore_r=3\"","true",1000,2118,0.219512195121951,0.8472
"2716",2717,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.234567901234568,0.9996
"2717",2716,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.234567901234568,0.9996
"2718",2718,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",933,2500,0.234567901234568,1
"2719",2719,"\"HD\"",0.19,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.234567901234568,0.9984
"2740",2742,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.25,0.9996
"2741",2743,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.25,0.9992
"2742",2729,"\"HD\"",0.19,0.01,1,0,"\"moore_r=3\"","true",1000,2108,0.234567901234568,0.8432
"2743",2744,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2495,0.25,0.998
"2744",2745,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",600,2500,0.25,1
"2745",2730,"\"HD\"",0.19,0.01,1,0,"\"moore_r=3\"","true",1000,2125,0.234567901234568,0.85
"2747",2747,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.25,0.9992
"2748",2748,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",735,2500,0.25,1
"2749",2749,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",799,2500,0.25,1
"2750",2750,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.25,0.9992
"2771",2773,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",1000,2493,0.265822784810127,0.9972
"2772",2774,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",877,2500,0.265822784810127,1
"2773",2759,"\"HD\"",0.2,0.01,1,0,"\"moore_r=3\"","true",1000,2106,0.25,0.8424
"2774",2775,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",1000,2493,0.265822784810127,0.9972
"2775",2760,"\"HD\"",0.2,0.01,1,0,"\"moore_r=3\"","true",1000,2101,0.25,0.8404
"2776",2776,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.265822784810127,0.9996
"2777",2777,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",933,2500,0.265822784810127,1
"2778",2778,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",917,2500,0.265822784810127,1
"2779",2779,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",951,2500,0.265822784810127,1
"2780",2780,"\"HD\"",0.21,0.01,1,0,"\"von neumann_r=1\"","true",1000,2500,0.265822784810127,1
"2800",2789,"\"HD\"",0.21,0.01,1,0,"\"moore_r=3\"","true",1000,2082,0.265822784810127,0.8328
"2801",2802,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.282051282051282,0.9992
"2803",2804,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.282051282051282,0.9984
"2804",2790,"\"HD\"",0.21,0.01,1,0,"\"moore_r=3\"","true",1000,2081,0.265822784810127,0.8324
"2805",2806,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.282051282051282,0.9996
"2806",2805,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.282051282051282,0.9992
"2807",2807,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",665,2500,0.282051282051282,1
"2808",2808,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2495,0.282051282051282,0.998
"2809",2809,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",927,2500,0.282051282051282,1
"2810",2810,"\"HD\"",0.22,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.282051282051282,0.9984
"2831",2819,"\"HD\"",0.22,0.01,1,0,"\"moore_r=3\"","true",1000,2056,0.282051282051282,0.8224
"2832",2833,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2489,0.298701298701299,0.9956
"2833",2835,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.298701298701299,0.9984
"2834",2820,"\"HD\"",0.22,0.01,1,0,"\"moore_r=3\"","true",1000,2058,0.282051282051282,0.8232
"2835",2834,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",973,2500,0.298701298701299,1
"2836",2837,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",558,2500,0.298701298701299,1
"2837",2836,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.298701298701299,0.9984
"2838",2838,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2490,0.298701298701299,0.996
"2839",2840,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.298701298701299,0.9992
"2840",2839,"\"HD\"",0.23,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.298701298701299,0.9992
