"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PDneighborhood"
"12/20/2014 16:08:58:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"199","""PD""","0.22","0.01","1","0","""moore_r=1""","true","549","0"
"200","""PD""","0.22","0.01","1","0","""moore_r=1""","true","615","0"
"201","""PD""","0.22","0.01","1","0","""moore_r=1""","true","598","0"
"197","""PD""","0.21","0.01","1","0","""moore_r=3""","true","335","0"
"202","""PD""","0.22","0.01","1","0","""von neumann_r=1""","true","758","0"
"196","""PD""","0.21","0.01","1","0","""moore_r=3""","true","365","0"
"203","""PD""","0.22","0.01","1","0","""von neumann_r=1""","true","828","0"
"204","""PD""","0.22","0.01","1","0","""von neumann_r=1""","true","1000","0.0052"
"198","""PD""","0.21","0.01","1","0","""moore_r=3""","true","499","0"
"208","""PD""","0.23","0.01","1","0","""moore_r=1""","true","679","0"
"209","""PD""","0.23","0.01","1","0","""moore_r=1""","true","639","0"
"207","""PD""","0.22","0.01","1","0","""moore_r=3""","true","207","0"
"210","""PD""","0.23","0.01","1","0","""moore_r=1""","true","433","0"
"211","""PD""","0.23","0.01","1","0","""von neumann_r=1""","true","893","0"
"205","""PD""","0.22","0.01","1","0","""moore_r=3""","true","408","0"
"212","""PD""","0.23","0.01","1","0","""von neumann_r=1""","true","1000","0.0016"
"213","""PD""","0.23","0.01","1","0","""von neumann_r=1""","true","851","0"
"206","""PD""","0.22","0.01","1","0","""moore_r=3""","true","544","0"
"215","""PD""","0.23","0.01","1","0","""moore_r=3""","true","195","0"
"217","""PD""","0.24","0.01","1","0","""moore_r=1""","true","540","0"
"216","""PD""","0.23","0.01","1","0","""moore_r=3""","true","196","0"
"218","""PD""","0.24","0.01","1","0","""moore_r=1""","true","773","0"
"219","""PD""","0.24","0.01","1","0","""moore_r=1""","true","528","0"
"214","""PD""","0.23","0.01","1","0","""moore_r=3""","true","312","0"
"220","""PD""","0.24","0.01","1","0","""von neumann_r=1""","true","899","0"
"221","""PD""","0.24","0.01","1","0","""von neumann_r=1""","true","1000","0.0020"
"222","""PD""","0.24","0.01","1","0","""von neumann_r=1""","true","1000","0.0032"
"226","""PD""","0.25","0.01","1","0","""moore_r=1""","true","724","0"
"227","""PD""","0.25","0.01","1","0","""moore_r=1""","true","393","0"
"228","""PD""","0.25","0.01","1","0","""moore_r=1""","true","489","0"
"225","""PD""","0.24","0.01","1","0","""moore_r=3""","true","246","0"
"223","""PD""","0.24","0.01","1","0","""moore_r=3""","true","313","0"
"224","""PD""","0.24","0.01","1","0","""moore_r=3""","true","299","0"
"229","""PD""","0.25","0.01","1","0","""von neumann_r=1""","true","1000","0.0208"
"230","""PD""","0.25","0.01","1","0","""von neumann_r=1""","true","1000","0.0224"
"231","""PD""","0.25","0.01","1","0","""von neumann_r=1""","true","1000","0.0272"
"235","""PD""","0.26","0.01","1","0","""moore_r=1""","true","370","0"
"232","""PD""","0.25","0.01","1","0","""moore_r=3""","true","182","0"
"236","""PD""","0.26","0.01","1","0","""moore_r=1""","true","365","0"
"233","""PD""","0.25","0.01","1","0","""moore_r=3""","true","187","0"
"234","""PD""","0.25","0.01","1","0","""moore_r=3""","true","174","0"
"237","""PD""","0.26","0.01","1","0","""moore_r=1""","true","431","0"
"239","""PD""","0.26","0.01","1","0","""von neumann_r=1""","true","559","0"
"240","""PD""","0.26","0.01","1","0","""von neumann_r=1""","true","594","0"
"238","""PD""","0.26","0.01","1","0","""von neumann_r=1""","true","602","0"
"244","""PD""","0.27","0.01","1","0","""moore_r=1""","true","563","0"
"241","""PD""","0.26","0.01","1","0","""moore_r=3""","true","167","0"
"245","""PD""","0.27","0.01","1","0","""moore_r=1""","true","265","0"
"243","""PD""","0.26","0.01","1","0","""moore_r=3""","true","132","0"
"246","""PD""","0.27","0.01","1","0","""moore_r=1""","true","363","0"
"248","""PD""","0.27","0.01","1","0","""von neumann_r=1""","true","643","0"
"247","""PD""","0.27","0.01","1","0","""von neumann_r=1""","true","534","0"
"249","""PD""","0.27","0.01","1","0","""von neumann_r=1""","true","419","0"
"252","""PD""","0.27","0.01","1","0","""moore_r=3""","true","121","0"
"242","""PD""","0.26","0.01","1","0","""moore_r=3""","true","339","0"
"254","""PD""","0.28","0.01","1","0","""moore_r=1""","true","256","0"
"253","""PD""","0.28","0.01","1","0","""moore_r=1""","true","351","0"
"251","""PD""","0.27","0.01","1","0","""moore_r=3""","true","169","0"
"255","""PD""","0.28","0.01","1","0","""moore_r=1""","true","252","0"
"250","""PD""","0.27","0.01","1","0","""moore_r=3""","true","228","0"
"256","""PD""","0.28","0.01","1","0","""von neumann_r=1""","true","501","0"
"257","""PD""","0.28","0.01","1","0","""von neumann_r=1""","true","528","0"
"258","""PD""","0.28","0.01","1","0","""von neumann_r=1""","true","504","0"
"262","""PD""","0.29","0.01","1","0","""moore_r=1""","true","305","0"
"263","""PD""","0.29","0.01","1","0","""moore_r=1""","true","300","0"
"260","""PD""","0.28","0.01","1","0","""moore_r=3""","true","112","0"
"264","""PD""","0.29","0.01","1","0","""moore_r=1""","true","304","0"
"259","""PD""","0.28","0.01","1","0","""moore_r=3""","true","147","0"
"265","""PD""","0.29","0.01","1","0","""von neumann_r=1""","true","380","0"
"266","""PD""","0.29","0.01","1","0","""von neumann_r=1""","true","523","0"
"267","""PD""","0.29","0.01","1","0","""von neumann_r=1""","true","543","0"
"261","""PD""","0.28","0.01","1","0","""moore_r=3""","true","210","0"
"271","""PD""","0.3","0.01","1","0","""moore_r=1""","true","167","0"
"272","""PD""","0.3","0.01","1","0","""moore_r=1""","true","195","0"
"270","""PD""","0.29","0.01","1","0","""moore_r=3""","true","110","0"
"273","""PD""","0.3","0.01","1","0","""moore_r=1""","true","284","0"
"274","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","372","0"
"268","""PD""","0.29","0.01","1","0","""moore_r=3""","true","196","0"
"276","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","367","0"
"275","""PD""","0.3","0.01","1","0","""von neumann_r=1""","true","360","0"
"269","""PD""","0.29","0.01","1","0","""moore_r=3""","true","211","0"
"280","""PD""","0.31","0.01","1","0","""moore_r=1""","true","206","0"
"281","""PD""","0.31","0.01","1","0","""moore_r=1""","true","174","0"
"282","""PD""","0.31","0.01","1","0","""moore_r=1""","true","246","0"
"278","""PD""","0.3","0.01","1","0","""moore_r=3""","true","116","0"
"277","""PD""","0.3","0.01","1","0","""moore_r=3""","true","138","0"
"283","""PD""","0.31","0.01","1","0","""von neumann_r=1""","true","354","0"
"279","""PD""","0.3","0.01","1","0","""moore_r=3""","true","131","0"
"284","""PD""","0.31","0.01","1","0","""von neumann_r=1""","true","274","0"
"285","""PD""","0.31","0.01","1","0","""von neumann_r=1""","true","375","0"
"289","""PD""","0.32","0.01","1","0","""moore_r=1""","true","246","0"
"290","""PD""","0.32","0.01","1","0","""moore_r=1""","true","174","0"
"288","""PD""","0.31","0.01","1","0","""moore_r=3""","true","99","0"
"291","""PD""","0.32","0.01","1","0","""moore_r=1""","true","363","0"
"292","""PD""","0.32","0.01","1","0","""von neumann_r=1""","true","222","0"
"286","""PD""","0.31","0.01","1","0","""moore_r=3""","true","138","0"
"293","""PD""","0.32","0.01","1","0","""von neumann_r=1""","true","306","0"
"294","""PD""","0.32","0.01","1","0","""von neumann_r=1""","true","285","0"
"287","""PD""","0.31","0.01","1","0","""moore_r=3""","true","147","0"
"298","""PD""","0.33","0.01","1","0","""moore_r=1""","true","257","0"
"299","""PD""","0.33","0.01","1","0","""moore_r=1""","true","247","0"
"296","""PD""","0.32","0.01","1","0","""moore_r=3""","true","81","0"
"300","""PD""","0.33","0.01","1","0","""moore_r=1""","true","179","0"
"295","""PD""","0.32","0.01","1","0","""moore_r=3""","true","114","0"
"297","""PD""","0.32","0.01","1","0","""moore_r=3""","true","103","0"
"301","""PD""","0.33","0.01","1","0","""von neumann_r=1""","true","329","0"
"303","""PD""","0.33","0.01","1","0","""von neumann_r=1""","true","296","0"
"302","""PD""","0.33","0.01","1","0","""von neumann_r=1""","true","291","0"
"307","""PD""","0.34","0.01","1","0","""moore_r=1""","true","200","0"
"308","""PD""","0.34","0.01","1","0","""moore_r=1""","true","207","0"
"305","""PD""","0.33","0.01","1","0","""moore_r=3""","true","78","0"
"309","""PD""","0.34","0.01","1","0","""moore_r=1""","true","153","0"
"306","""PD""","0.33","0.01","1","0","""moore_r=3""","true","84","0"
"310","""PD""","0.34","0.01","1","0","""von neumann_r=1""","true","279","0"
"304","""PD""","0.33","0.01","1","0","""moore_r=3""","true","117","0"
"312","""PD""","0.34","0.01","1","0","""von neumann_r=1""","true","258","0"
"311","""PD""","0.34","0.01","1","0","""von neumann_r=1""","true","314","0"
"316","""PD""","0.35","0.01","1","0","""moore_r=1""","true","199","0"
"314","""PD""","0.34","0.01","1","0","""moore_r=3""","true","78","0"
"313","""PD""","0.34","0.01","1","0","""moore_r=3""","true","86","0"
"317","""PD""","0.35","0.01","1","0","""moore_r=1""","true","312","0"
"318","""PD""","0.35","0.01","1","0","""moore_r=1""","true","202","0"
"319","""PD""","0.35","0.01","1","0","""von neumann_r=1""","true","254","0"
"315","""PD""","0.34","0.01","1","0","""moore_r=3""","true","98","0"
"321","""PD""","0.35","0.01","1","0","""von neumann_r=1""","true","241","0"
"320","""PD""","0.35","0.01","1","0","""von neumann_r=1""","true","312","0"
"325","""PD""","0.36","0.01","1","0","""moore_r=1""","true","135","0"
"326","""PD""","0.36","0.01","1","0","""moore_r=1""","true","156","0"
"324","""PD""","0.35","0.01","1","0","""moore_r=3""","true","64","0"
"327","""PD""","0.36","0.01","1","0","""moore_r=1""","true","156","0"
"323","""PD""","0.35","0.01","1","0","""moore_r=3""","true","84","0"
"328","""PD""","0.36","0.01","1","0","""von neumann_r=1""","true","181","0"
"322","""PD""","0.35","0.01","1","0","""moore_r=3""","true","96","0"
"329","""PD""","0.36","0.01","1","0","""von neumann_r=1""","true","182","0"
"330","""PD""","0.36","0.01","1","0","""von neumann_r=1""","true","254","0"
"334","""PD""","0.37","0.01","1","0","""moore_r=1""","true","172","0"
"335","""PD""","0.37","0.01","1","0","""moore_r=1""","true","173","0"
"331","""PD""","0.36","0.01","1","0","""moore_r=3""","true","60","0"
"336","""PD""","0.37","0.01","1","0","""moore_r=1""","true","141","0"
"337","""PD""","0.37","0.01","1","0","""von neumann_r=1""","true","246","0"
"338","""PD""","0.37","0.01","1","0","""von neumann_r=1""","true","228","0"
"339","""PD""","0.37","0.01","1","0","""von neumann_r=1""","true","212","0"
"333","""PD""","0.36","0.01","1","0","""moore_r=3""","true","92","0"
"332","""PD""","0.36","0.01","1","0","""moore_r=3""","true","103","0"
"343","""PD""","0.38","0.01","1","0","""moore_r=1""","true","162","0"
"344","""PD""","0.38","0.01","1","0","""moore_r=1""","true","122","0"
"345","""PD""","0.38","0.01","1","0","""moore_r=1""","true","135","0"
"342","""PD""","0.37","0.01","1","0","""moore_r=3""","true","62","0"
"340","""PD""","0.37","0.01","1","0","""moore_r=3""","true","85","0"
"346","""PD""","0.38","0.01","1","0","""von neumann_r=1""","true","296","0"
"347","""PD""","0.38","0.01","1","0","""von neumann_r=1""","true","246","0"
"348","""PD""","0.38","0.01","1","0","""von neumann_r=1""","true","213","0"
"341","""PD""","0.37","0.01","1","0","""moore_r=3""","true","111","0"
"352","""PD""","0.39","0.01","1","0","""moore_r=1""","true","136","0"
"353","""PD""","0.39","0.01","1","0","""moore_r=1""","true","182","0"
"354","""PD""","0.39","0.01","1","0","""moore_r=1""","true","96","0"
"350","""PD""","0.38","0.01","1","0","""moore_r=3""","true","61","0"
