"BehaviorSpace results (NetLogo 5.0.5)"
"extended_pd_mixed_strategy.nlogo"
"experiment_stable_coexistence_mixed_variation_of_costs"
"12/15/2014 13:43:12:862 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","benefit","initial_propD","play_pd","cost","baseline_fitness","play_spatial","[step]","count patches with [strategy_current = ""C""] / (count patches)"
"323","1","0.6","false","0.06","0","false","500","0.2956"
"324","1","0.6","false","0.06","0","false","500","0.2808"
"325","1","0.6","false","0.06","0","false","500","0.2956"
"326","1","0.6","false","0.06","0","false","500","0.2764"
"327","1","0.6","false","0.06","0","false","500","0.2872"
"328","1","0.6","false","0.06","0","false","500","0.2764"
"329","1","0.6","false","0.06","0","false","500","0.2632"
"330","1","0.6","false","0.06","0","false","500","0.2892"
"331","1","0.6","false","0.06","0","false","500","0.268"
"333","1","0.6","false","0.06","0","false","500","0.2816"
"332","1","0.6","false","0.06","0","false","500","0.2884"
"334","1","0.6","false","0.06","0","false","500","0.276"
"335","1","0.6","false","0.06","0","false","500","0.2816"
"336","1","0.6","false","0.06","0","false","500","0.2704"
"337","1","0.6","false","0.06","0","false","500","0.2712"
"338","1","0.6","false","0.06","0","false","500","0.276"
"339","1","0.6","false","0.06","0","false","500","0.2656"
"340","1","0.6","false","0.06","0","false","500","0.2964"
"341","1","0.6","false","0.06","0","false","500","0.286"
"342","1","0.6","false","0.06","0","false","500","0.2672"
"343","1","0.6","false","0.06","0","false","500","0.29"
"344","1","0.6","false","0.06","0","false","500","0.2716"
"345","1","0.6","false","0.06","0","false","500","0.2812"
"346","1","0.6","false","0.06","0","false","500","0.2824"
"347","1","0.6","false","0.06","0","false","500","0.276"
"348","1","0.6","false","0.06","0","false","500","0.2724"
"350","1","0.6","false","0.06","0","false","500","0.268"
"349","1","0.6","false","0.06","0","false","500","0.2908"
"351","1","0.6","false","0.07","0","false","500","0.276"
"352","1","0.6","false","0.07","0","false","500","0.2636"
"353","1","0.6","false","0.07","0","false","500","0.2716"
"354","1","0.6","false","0.07","0","false","500","0.2652"
"355","1","0.6","false","0.07","0","false","500","0.2704"
"356","1","0.6","false","0.07","0","false","500","0.29"
"357","1","0.6","false","0.07","0","false","500","0.2712"
"358","1","0.6","false","0.07","0","false","500","0.2812"
"359","1","0.6","false","0.07","0","false","500","0.272"
"360","1","0.6","false","0.07","0","false","500","0.2704"
"361","1","0.6","false","0.07","0","false","500","0.27"
"362","1","0.6","false","0.07","0","false","500","0.2832"
"363","1","0.6","false","0.07","0","false","500","0.268"
"364","1","0.6","false","0.07","0","false","500","0.2752"
"365","1","0.6","false","0.07","0","false","500","0.2616"
"366","1","0.6","false","0.07","0","false","500","0.2872"
"367","1","0.6","false","0.07","0","false","500","0.2708"
"369","1","0.6","false","0.07","0","false","500","0.2668"
"368","1","0.6","false","0.07","0","false","500","0.2876"
"370","1","0.6","false","0.07","0","false","500","0.2904"
"371","1","0.6","false","0.07","0","false","500","0.2912"
"372","1","0.6","false","0.07","0","false","500","0.29"
"373","1","0.6","false","0.07","0","false","500","0.2916"
"374","1","0.6","false","0.07","0","false","500","0.2772"
"375","1","0.6","false","0.07","0","false","500","0.2792"
"376","1","0.6","false","0.07","0","false","500","0.282"
"377","1","0.6","false","0.07","0","false","500","0.2844"
"378","1","0.6","false","0.07","0","false","500","0.272"
"379","1","0.6","false","0.07","0","false","500","0.2672"
"380","1","0.6","false","0.07","0","false","500","0.2788"
"381","1","0.6","false","0.07","0","false","500","0.278"
"382","1","0.6","false","0.07","0","false","500","0.2792"
"383","1","0.6","false","0.07","0","false","500","0.2656"
"384","1","0.6","false","0.07","0","false","500","0.278"
"385","1","0.6","false","0.07","0","false","500","0.2664"
"386","1","0.6","false","0.07","0","false","500","0.2772"
"388","1","0.6","false","0.07","0","false","500","0.2824"
"387","1","0.6","false","0.07","0","false","500","0.2608"
"389","1","0.6","false","0.07","0","false","500","0.2828"
"390","1","0.6","false","0.07","0","false","500","0.27"
"391","1","0.6","false","0.07","0","false","500","0.2788"
"392","1","0.6","false","0.07","0","false","500","0.2864"
"393","1","0.6","false","0.07","0","false","500","0.2668"
"394","1","0.6","false","0.07","0","false","500","0.2692"
"395","1","0.6","false","0.07","0","false","500","0.2748"
"396","1","0.6","false","0.07","0","false","500","0.2764"
"397","1","0.6","false","0.07","0","false","500","0.272"
"398","1","0.6","false","0.07","0","false","500","0.2748"
"399","1","0.6","false","0.07","0","false","500","0.2736"
"400","1","0.6","false","0.07","0","false","500","0.2776"
"401","1","0.6","false","0.08","0","false","500","0.2732"
"402","1","0.6","false","0.08","0","false","500","0.2812"
"403","1","0.6","false","0.08","0","false","500","0.2708"
"405","1","0.6","false","0.08","0","false","500","0.2852"
"404","1","0.6","false","0.08","0","false","500","0.2848"
"406","1","0.6","false","0.08","0","false","500","0.2784"
"407","1","0.6","false","0.08","0","false","500","0.278"
"408","1","0.6","false","0.08","0","false","500","0.2676"
"409","1","0.6","false","0.08","0","false","500","0.2844"
"410","1","0.6","false","0.08","0","false","500","0.2664"
"411","1","0.6","false","0.08","0","false","500","0.294"
"412","1","0.6","false","0.08","0","false","500","0.2828"
"413","1","0.6","false","0.08","0","false","500","0.272"
"414","1","0.6","false","0.08","0","false","500","0.264"
"415","1","0.6","false","0.08","0","false","500","0.2768"
"416","1","0.6","false","0.08","0","false","500","0.2672"
"417","1","0.6","false","0.08","0","false","500","0.2836"
"418","1","0.6","false","0.08","0","false","500","0.2748"
"419","1","0.6","false","0.08","0","false","500","0.2676"
"420","1","0.6","false","0.08","0","false","500","0.278"
"422","1","0.6","false","0.08","0","false","500","0.2628"
"421","1","0.6","false","0.08","0","false","500","0.2804"
"423","1","0.6","false","0.08","0","false","500","0.2696"
"424","1","0.6","false","0.08","0","false","500","0.2768"
"425","1","0.6","false","0.08","0","false","500","0.2732"
"426","1","0.6","false","0.08","0","false","500","0.2852"
"427","1","0.6","false","0.08","0","false","500","0.2576"
"428","1","0.6","false","0.08","0","false","500","0.2792"
"429","1","0.6","false","0.08","0","false","500","0.268"
"430","1","0.6","false","0.08","0","false","500","0.2768"
"431","1","0.6","false","0.08","0","false","500","0.2852"
"432","1","0.6","false","0.08","0","false","500","0.2608"
"433","1","0.6","false","0.08","0","false","500","0.2904"
"434","1","0.6","false","0.08","0","false","500","0.2696"
"435","1","0.6","false","0.08","0","false","500","0.282"
"436","1","0.6","false","0.08","0","false","500","0.27"
"437","1","0.6","false","0.08","0","false","500","0.2792"
"438","1","0.6","false","0.08","0","false","500","0.274"
"439","1","0.6","false","0.08","0","false","500","0.2744"
"441","1","0.6","false","0.08","0","false","500","0.2736"
"440","1","0.6","false","0.08","0","false","500","0.2716"
"442","1","0.6","false","0.08","0","false","500","0.2832"
"443","1","0.6","false","0.08","0","false","500","0.2888"
"444","1","0.6","false","0.08","0","false","500","0.2744"
"445","1","0.6","false","0.08","0","false","500","0.2828"
"446","1","0.6","false","0.08","0","false","500","0.28"
"447","1","0.6","false","0.08","0","false","500","0.276"
"448","1","0.6","false","0.08","0","false","500","0.29"
"449","1","0.6","false","0.08","0","false","500","0.2764"
"450","1","0.6","false","0.08","0","false","500","0.294"
"451","1","0.6","false","0.09","0","false","500","0.2724"
"452","1","0.6","false","0.09","0","false","500","0.274"
"453","1","0.6","false","0.09","0","false","500","0.2724"
"454","1","0.6","false","0.09","0","false","500","0.2688"
"455","1","0.6","false","0.09","0","false","500","0.2876"
"456","1","0.6","false","0.09","0","false","500","0.2792"
"458","1","0.6","false","0.09","0","false","500","0.2832"
"457","1","0.6","false","0.09","0","false","500","0.2664"
"459","1","0.6","false","0.09","0","false","500","0.2748"
"460","1","0.6","false","0.09","0","false","500","0.2784"
"461","1","0.6","false","0.09","0","false","500","0.2728"
"462","1","0.6","false","0.09","0","false","500","0.2668"
"463","1","0.6","false","0.09","0","false","500","0.2768"
"464","1","0.6","false","0.09","0","false","500","0.29"
"465","1","0.6","false","0.09","0","false","500","0.2672"
"466","1","0.6","false","0.09","0","false","500","0.2772"
